timestamp,open,high,low,close,volume
2026-01-24 20:18:00,2958.74,2958.75,2958.19,2958.19,29.464
2026-01-24 20:19:00,2958.2,2958.2,2957.87,2957.87,4.0075
2026-01-24 20:20:00,2957.87,2957.88,2957.87,2957.87,3.1375
2026-01-24 20:21:00,2957.87,2957.88,2957.87,2957.88,37.474
2026-01-24 20:22:00,2957.87,2958.38,2957.87,2958.37,29.5258
2026-01-24 20:23:00,2958.37,2958.37,2958.17,2958.18,11.9607
2026-01-24 20:24:00,2958.18,2958.18,2958.17,2958.18,3.6908
2026-01-24 20:25:00,2958.18,2958.18,2958.17,2958.18,4.7055
2026-01-24 20:26:00,2958.17,2958.18,2958.17,2958.18,0.8592
2026-01-24 20:27:00,2958.18,2958.55,2958.17,2958.32,145.1841
2026-01-24 20:28:00,2958.32,2958.33,2958.0,2958.0,15.157
2026-01-24 20:29:00,2958.01,2958.01,2957.87,2957.88,10.4068
2026-01-24 20:30:00,2957.87,2957.88,2957.75,2957.76,2.5355
2026-01-24 20:31:00,2957.75,2957.76,2957.43,2957.43,6.8893
2026-01-24 20:32:00,2957.43,2957.44,2956.82,2956.83,30.2997
2026-01-24 20:33:00,2956.83,2956.83,2956.82,2956.83,18.0877
2026-01-24 20:34:00,2956.82,2957.39,2956.82,2957.39,81.2808
2026-01-24 20:35:00,2957.39,2957.39,2957.38,2957.39,3.3564
2026-01-24 20:36:00,2957.39,2957.39,2957.38,2957.39,16.7484
2026-01-24 20:37:00,2957.39,2957.39,2957.38,2957.38,5.9164
2026-01-24 20:38:00,2957.38,2957.39,2957.36,2957.36,5.5936
2026-01-24 20:39:00,2957.37,2957.37,2957.01,2957.02,9.7721
2026-01-24 20:40:00,2957.01,2957.59,2956.76,2956.76,139.6885
2026-01-24 20:41:00,2956.76,2956.77,2956.76,2956.76,3.2352
2026-01-24 20:42:00,2956.76,2956.77,2956.76,2956.77,4.5958
2026-01-24 20:43:00,2956.77,2956.77,2956.76,2956.77,5.5296
2026-01-24 20:44:00,2956.77,2956.77,2956.76,2956.76,2.7151
2026-01-24 20:45:00,2956.77,2956.77,2956.76,2956.77,10.1296
2026-01-24 20:46:00,2956.77,2956.77,2956.46,2956.46,8.517
2026-01-24 20:47:00,2956.46,2956.46,2956.45,2956.45,1.6132
2026-01-24 20:48:00,2956.46,2956.46,2956.45,2956.46,4.9337
2026-01-24 20:49:00,2956.46,2956.46,2956.45,2956.45,2.6029
2026-01-24 20:50:00,2956.46,2956.48,2956.46,2956.47,144.1207
2026-01-24 20:51:00,2956.47,2956.47,2956.2,2956.21,10.693
2026-01-24 20:52:00,2956.21,2956.21,2956.2,2956.2,4.0859
2026-01-24 20:53:00,2956.2,2956.21,2956.2,2956.21,4.9841
2026-01-24 20:54:00,2956.21,2956.21,2956.2,2956.21,1.0799
2026-01-24 20:55:00,2956.2,2956.21,2956.06,2956.06,22.9087
2026-01-24 20:56:00,2956.07,2956.48,2956.05,2956.47,92.4318
2026-01-24 20:57:00,2956.47,2956.47,2956.46,2956.47,3.0148
2026-01-24 20:58:00,2956.47,2956.47,2956.46,2956.47,19.9952
2026-01-24 20:59:00,2956.47,2956.47,2956.25,2956.25,17.5227
2026-01-24 21:00:00,2956.26,2956.26,2956.25,2956.25,2.988
2026-01-24 21:01:00,2956.26,2956.26,2956.25,2956.26,4.056
2026-01-24 21:02:00,2956.25,2956.26,2955.5,2955.5,28.4098
2026-01-24 21:03:00,2955.48,2955.64,2955.41,2955.41,31.8871
2026-01-24 21:04:00,2955.42,2955.42,2954.82,2954.82,11.6239
2026-01-24 21:05:00,2954.81,2954.82,2954.11,2954.11,12.2071
2026-01-24 21:06:00,2954.12,2954.41,2954.11,2954.41,147.2584
2026-01-24 21:07:00,2954.41,2954.41,2954.02,2954.02,20.3924
2026-01-24 21:08:00,2954.02,2954.02,2953.53,2953.53,27.5348
2026-01-24 21:09:00,2953.53,2953.53,2952.56,2952.87,106.2704
2026-01-24 21:10:00,2952.87,2954.33,2952.87,2954.32,80.8902
2026-01-24 21:11:00,2954.32,2954.33,2953.94,2953.94,24.0507
2026-01-24 21:12:00,2953.94,2953.94,2949.23,2950.81,521.0504
2026-01-24 21:13:00,2950.81,2952.42,2950.8,2951.92,135.4212
2026-01-24 21:14:00,2951.93,2951.93,2951.86,2951.86,52.0719
2026-01-24 21:15:00,2951.87,2951.87,2951.33,2951.34,12.8343
2026-01-24 21:16:00,2951.34,2951.71,2950.94,2951.7,104.1999
2026-01-24 21:17:00,2951.71,2952.5,2951.7,2952.5,34.8763
2026-01-24 21:18:00,2952.5,2952.55,2951.7,2951.71,61.1685
2026-01-24 21:19:00,2951.71,2952.02,2951.7,2952.02,23.143
2026-01-24 21:20:00,2952.02,2952.82,2952.02,2952.81,46.6552
2026-01-24 21:21:00,2952.81,2953.39,2951.61,2952.35,129.383
2026-01-24 21:22:00,2952.35,2952.61,2952.35,2952.37,14.865
2026-01-24 21:23:00,2952.38,2952.38,2952.37,2952.38,37.1853
2026-01-24 21:24:00,2952.37,2952.38,2952.37,2952.37,55.6092
2026-01-24 21:25:00,2952.37,2952.38,2952.37,2952.38,14.1351
2026-01-24 21:26:00,2952.37,2952.38,2952.37,2952.38,14.8874
2026-01-24 21:27:00,2952.37,2952.38,2952.37,2952.38,4.3925
2026-01-24 21:28:00,2952.37,2952.38,2952.37,2952.38,1.3061
2026-01-24 21:29:00,2952.38,2952.38,2952.37,2952.37,2.2941
2026-01-24 21:30:00,2952.37,2952.38,2952.37,2952.37,6.9606
2026-01-24 21:31:00,2952.38,2952.82,2951.72,2951.89,217.6463
2026-01-24 21:32:00,2951.9,2952.48,2951.9,2952.48,31.0506
2026-01-24 21:33:00,2952.47,2952.48,2952.47,2952.48,3.2576
2026-01-24 21:34:00,2952.48,2952.48,2952.14,2952.15,16.5842
2026-01-24 21:35:00,2952.14,2952.15,2952.14,2952.15,1.5793
2026-01-24 21:36:00,2952.15,2953.59,2952.14,2953.44,290.652
2026-01-24 21:37:00,2953.43,2953.44,2953.43,2953.43,2.597
2026-01-24 21:38:00,2953.43,2953.44,2953.42,2953.43,17.2373
2026-01-24 21:39:00,2953.43,2953.43,2953.41,2953.41,15.9647
2026-01-24 21:40:00,2953.41,2953.42,2953.41,2953.42,142.7463
2026-01-24 21:41:00,2953.42,2954.33,2953.42,2954.33,66.5717
2026-01-24 21:42:00,2954.33,2954.64,2954.32,2954.63,16.7533
2026-01-24 21:43:00,2954.64,2954.64,2954.63,2954.64,5.2239
2026-01-24 21:44:00,2954.64,2957.57,2954.63,2956.71,344.4196
2026-01-24 21:45:00,2956.71,2956.71,2955.36,2955.37,101.3488
2026-01-24 21:46:00,2955.36,2955.37,2954.97,2954.97,34.5816
2026-01-24 21:47:00,2954.97,2955.87,2954.96,2955.87,106.268
2026-01-24 21:48:00,2955.87,2955.87,2955.13,2955.14,63.5064
2026-01-24 21:49:00,2955.14,2955.4,2955.13,2955.39,19.0184
2026-01-24 21:50:00,2955.4,2955.4,2955.39,2955.4,7.0711
2026-01-24 21:51:00,2955.4,2955.4,2955.18,2955.19,42.2165
